iter	Passed	Remaining
464	738	849
465	740	848
466	741	846
467	743	844
468	744	842
469	745	840
470	746	838
471	747	836
472	748	834
473	749	831
474	750	829
475	751	827
476	752	825
477	753	823
478	755	822
479	757	820
480	758	818
481	759	816
482	760	814
483	761	812
484	763	810
485	764	808
486	765	806
487	766	804
488	767	802
489	769	800
490	770	798
491	771	796
492	773	795
493	774	793
494	775	791
495	776	789
496	777	787
497	778	785
498	779	783
499	780	780
500	781	778
501	783	777
502	785	775
503	786	774
504	787	772
505	789	770
506	790	768
507	791	766
508	792	764
509	793	762
510	794	760
511	795	758
512	797	756
513	798	755
514	800	753
515	801	751
516	802	749
517	803	747
518	804	745
519	805	743
520	806	741
521	807	739
522	808	737
523	809	735
524	810	733
525	811	731
526	813	730
527	814	728
528	816	726
529	817	724
530	818	722
531	819	720
532	820	718
533	821	716
534	822	715
535	823	713
536	825	711
537	826	709
538	827	708
539	829	706
540	830	704
541	831	702
542	832	700
543	833	699
544	835	697
545	836	695
546	837	693
547	838	691
548	840	690
549	842	689
550	843	687
551	844	685
552	845	683
553	846	681
554	848	679
555	849	678
556	850	676
557	851	674
558	852	672
559	853	670
560	854	668
561	855	666
562	857	665
563	858	663
564	859	661
565	861	660
566	862	658
567	863	656
568	864	654
569	865	652
570	866	651
571	867	649
572	868	647
573	871	646
574	872	645
575	873	643
576	875	641
577	876	639
578	877	638
579	878	636
580	879	634
581	880	632
582	882	630
583	883	629
584	885	628
585	886	626
586	887	624
587	888	622
588	889	620
589	890	619
590	891	617
591	892	615
592	893	613
593	894	611
594	895	609
595	896	607
596	897	606
597	899	604
598	900	603
599	901	601
600	903	599
601	904	597
602	905	596
603	906	594
604	907	592
605	908	590
606	909	588
607	910	587
608	912	585
609	913	584
610	915	582
611	916	580
612	917	579
613	918	577
614	919	575
615	920	573
616	921	571
617	922	570
618	923	568
619	924	566
620	925	564
621	926	562
622	927	561
623	929	559
624	930	558
625	931	556
626	932	554
627	933	552
628	934	551
629	935	549
630	936	547
631	937	545
632	938	543
633	938	542
634	939	540
635	940	538
636	942	536
637	943	535
638	944	533
639	946	532
640	947	530
641	948	528
642	949	526
643	950	525
644	951	523
645	951	521
646	952	519
647	953	518
648	954	516
649	955	514
650	956	513
651	958	511
652	959	509
653	960	508
654	961	506
655	962	504
656	963	503
657	964	501
658	966	499
659	967	498
660	968	496
661	969	494
662	970	493
663	971	491
664	973	490
665	974	488
666	975	486
667	976	485
668	977	483
669	978	481
670	979	480
671	980	478
672	981	476
673	981	474
674	982	473
675	983	471
676	984	469
677	986	468
678	987	466
679	988	465
680	989	463
681	990	461
682	991	460
683	992	458
684	993	456
685	994	455
686	995	453
687	996	451
688	997	450
689	998	448
690	1000	447
691	1001	445
692	1002	444
693	1004	442
694	1005	441
695	1006	439
696	1007	438
697	1008	436
698	1009	434
699	1010	433
700	1011	431
701	1012	429
702	1013	428
703	1015	426
704	1016	425
705	1017	423
706	1018	422
707	1019	420
708	1020	418
709	1021	417
710	1022	415
711	1023	413
712	1024	412
713	1025	410
714	1026	409
715	1027	407
716	1030	406
717	1032	405
718	1034	404
719	1035	402
720	1036	400
721	1037	399
722	1038	397
723	1039	396
724	1040	394
725	1041	393
726	1042	391
727	1044	390
728	1046	388
729	1047	387
730	1048	386
731	1050	384
732	1051	383
733	1052	381
734	1054	380
735	1055	378
736	1057	377
737	1060	376
738	1061	374
739	1062	373
740	1063	371
741	1064	370
742	1065	368
743	1066	366
744	1067	365
745	1068	363
746	1069	362
747	1070	360
748	1072	359
749	1073	357
750	1075	356
751	1076	354
752	1077	353
753	1078	351
754	1079	350
755	1080	348
756	1081	347
757	1082	345
758	1083	344
759	1084	342
760	1086	341
761	1087	339
762	1090	338
763	1091	337
764	1092	335
765	1093	334
766	1094	332
767	1096	331
768	1097	329
769	1098	328
770	1099	326
771	1101	325
772	1103	324
773	1104	322
774	1106	321
775	1107	319
776	1108	318
777	1109	316
778	1110	315
779	1111	313
780	1112	312
781	1113	310
782	1114	308
783	1115	307
784	1117	306
785	1118	304
786	1119	303
787	1120	301
788	1122	300
789	1123	298
790	1124	297
791	1125	295
792	1126	294
793	1127	292
794	1128	291
795	1130	289
796	1131	288
797	1132	286
798	1134	285
799	1135	283
800	1136	282
801	1137	280
802	1138	279
803	1139	277
804	1139	276
805	1140	274
806	1141	273
807	1142	271
808	1143	270
809	1144	268
810	1145	266
811	1147	265
812	1148	264
813	1149	262
814	1149	261
815	1150	259
816	1151	257
817	1152	256
818	1153	254
819	1154	253
820	1155	251
821	1156	250
822	1157	248
823	1158	247
824	1159	245
825	1160	244
826	1161	243
827	1162	241
828	1163	240
829	1164	238
830	1165	237
831	1166	235
832	1167	234
833	1168	232
834	1169	231
835	1170	229
836	1171	228
837	1172	226
838	1173	225
839	1174	223
840	1175	222
841	1176	220
842	1177	219
843	1178	217
844	1179	216
845	1180	214
846	1181	213
847	1182	211
848	1183	210
849	1184	209
850	1185	207
851	1186	206
852	1187	204
853	1188	203
854	1189	201
855	1190	200
856	1191	198
857	1192	197
858	1193	195
859	1194	194
860	1195	192
861	1196	191
862	1197	190
863	1198	188
864	1199	187
865	1200	185
866	1201	184
867	1202	182
868	1203	181
869	1205	180
870	1206	178
871	1207	177
872	1208	175
873	1209	174
874	1210	172
875	1210	171
876	1211	169
877	1212	168
878	1213	167
879	1214	165
880	1215	164
881	1216	162
882	1217	161
883	1218	159
884	1220	158
885	1221	157
886	1222	155
887	1223	154
888	1224	152
889	1225	151
890	1226	150
891	1227	148
892	1228	147
893	1229	145
894	1230	144
895	1231	142
896	1232	141
897	1233	140
898	1234	138
899	1235	137
900	1236	135
901	1237	134
902	1238	133
903	1239	131
904	1240	130
905	1241	128
906	1242	127
907	1243	125
908	1244	124
909	1245	123
910	1246	121
911	1247	120
912	1248	118
913	1249	117
914	1250	116
915	1251	114
916	1252	113
917	1253	111
918	1254	110
919	1255	109
920	1256	107
921	1257	106
922	1258	105
923	1259	103
924	1260	102
925	1261	100
926	1262	99
927	1263	98
928	1265	96
929	1266	95
930	1267	93
931	1268	92
932	1268	91
933	1269	89
934	1270	88
935	1271	86
936	1272	85
937	1273	84
938	1274	82
939	1275	81
940	1276	80
941	1277	78
942	1279	77
943	1280	75
944	1281	74
945	1282	73
946	1283	71
947	1284	70
948	1285	69
949	1286	67
950	1287	66
951	1288	64
952	1289	63
953	1290	62
954	1291	60
955	1291	59
956	1293	58
957	1294	56
958	1295	55
959	1296	54
960	1297	52
961	1298	51
962	1299	49
963	1300	48
964	1301	47
965	1302	45
966	1303	44
967	1304	43
968	1304	41
969	1305	40
970	1306	39
971	1308	37
972	1309	36
973	1310	34
974	1311	33
975	1312	32
976	1313	30
977	1314	29
978	1315	28
979	1316	26
980	1317	25
981	1318	24
982	1319	22
983	1320	21
984	1321	20
985	1323	18
986	1324	17
987	1325	16
988	1326	14
989	1327	13
990	1328	12
991	1329	10
992	1330	9
993	1331	8
994	1332	6
995	1333	5
996	1334	4
997	1335	2
998	1336	1
999	1337	0
